SENTTOT,SENTTOT0,CITIZEN,CITWHERE,CRIMHIST,DISTRICT,DOBMON,EDUCATN,ENCRYPT2,HISPORIG,INOUT,NEWRACE,OFFTYPSB,SENTIMP,SENTMON,DOBYR,SENTYR
10,10,3,49,1,70,7,8,0,2,0,3,27,1,10,1988,2016
151,151,1,211,1,23,2,21,0,1,,2,10,1,10,1978,2016
30,30,1,211,1,70,10,11,0,1,,6,27,1,10,1968,2016
240,240,1,211,1,53,10,21,0,1,,1,28,1,10,1984,2016
108,108,1,211,1,42,2,12,0,2,,3,10,1,10,1983,2016
,0,,,1,55,2,,0,0,1,,17,4,10,1976,2016
15,15,1,211,1,54,2,12,0,1,,1,18,1,10,1974,2016
20,20,1,211,1,15,12,34,0,1,,2,10,1,10,1985,2016
8.49,8.49,3,49,1,70,10,2,0,2,,3,27,1,10,1969,2016
15,15,1,211,1,42,10,34,0,1,,2,10,1,10,1972,2016
65,65,1,211,1,80,3,21,0,1,,1,10,1,10,1976,2016
13,13,3,49,1,70,1,12,0,2,,3,27,1,10,1991,2016
51,51,1,211,1,42,1,12,0,2,,3,13,1,10,1977,2016
,0,1,211,1,88,10,21,0,1,,1,13,1,10,1994,2016
50,50,1,211,1,51,3,10,0,2,,3,10,1,10,1993,2016
72,72,1,211,1,88,4,34,0,1,,1,10,1,10,1975,2016
8.8,8.8,2,49,0,88,9,16,0,2,,3,10,1,10,1967,2016
8,8,3,49,1,70,2,8,0,2,,3,10,1,10,1990,2016
21,21,2,49,1,42,3,5,0,2,,3,30,1,10,1953,2016
21,21,2,49,1,42,12,9,0,2,,3,30,1,10,1952,2016
12.03,12.03,3,49,1,70,11,6,0,2,,3,10,1,10,1984,2016
,0,1,211,,31,10,,0,2,,3,35,1,10,1935,2016
72,72,1,211,1,15,5,23,0,2,,3,10,1,10,1972,2016
46,46,1,211,1,73,2,21,0,1,,2,13,1,10,1988,2016
4,4,3,49,1,84,6,3,0,2,0,3,27,1,10,1980,2016
15,15,3,49,1,62,2,10,0,2,,3,27,1,10,1987,2016
120,120,1,211,1,35,8,8,0,1,,2,10,1,10,1985,2016
30.92,30.92,1,211,1,84,8,21,0,1,,1,13,2,10,1973,2016
131,131,1,211,1,15,4,34,0,1,,2,10,1,10,1981,2016
3.75,3.75,3,49,1,62,11,6,0,2,0,3,18,1,10,1973,2016
24,24,1,211,1,87,11,21,0,1,,1,13,1,10,1974,2016
108,108,1,211,1,15,6,22,0,1,,2,10,1,10,1981,2016
,0,1,211,1,87,6,12,0,1,,1,24,4,10,1996,2016
71,71,1,211,1,35,8,32,0,1,,2,10,1,10,1983,2016
30,30,3,49,1,70,3,11,0,2,,3,27,1,10,1980,2016
12.03,12.03,1,211,1,70,2,11,0,2,,3,27,1,10,1993,2016
27,27,1,211,1,51,3,21,0,1,,2,30,1,10,1989,2016
66,66,3,49,1,70,7,6,0,2,,3,27,1,10,1965,2016
120,120,1,211,1,62,8,34,0,1,,1,26,1,10,1975,2016
5.43,5.43,1,211,0,49,2,34,0,1,0,1,17,1,10,1978,2016
,0,3,49,0,35,7,,0,2,0,3,27,1,10,1990,2016
